scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,panel
J1,full,treatment_effect_mean,-0.3374485596707819,5,1,0.0035087989117819187,0.007548228290781889,0.020579173147518445,0.07737221130000001,0.023583852411356198,1.0195060652049033,182.24015113264574,0,4.6,23,0.2,0.2,0,0.7010088631977787,B
J1,naive,treatment_effect_mean,-0.3374485596707819,5,1,0.006276115824781892,0.013660324880781893,0.01663197324919042,0.05349264059999999,0.016237363439392596,1.020518848122422,196.9438546072049,0,10.6,28,1,0.4,0,0.581158466324765,B
J2,full,treatment_effect_mean,-0.3374485596707819,5,1,0.00691283763378191,0.007118868330781902,0.0164431644290059,0.07332469039999998,0.022379392965178532,1.0317552427441505,98.56012257744351,0,23.6,49,1,0.6,0,0.7106188865652989,B
J2,naive,treatment_effect_mean,-0.3374485596707819,5,0.2,-0.04524141582321808,-0.05759681809921807,0.04866675299395627,0.059567979699999996,0.018093188772100678,1.0100703596401934,205.82723990033267,0,3.2,6,1,0,0,0.6478647674091781,B
J3,full,treatment_effect_mean,-0.3374485596707819,5,0.8,0.01283872924978191,0.008994864520781909,0.0283376900389179,0.07542430999999997,0.02290969024464131,1.0807761051583125,19.05204838498403,0.4,33.2,136,0.8,0.4,0,0.6601481764431316,B
J3,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.0800036685262181,-0.07785176323921811,0.0806930197496306,0.05938559679999998,0.01816207856080726,1.019249089156191,233.53613074331082,0,2.6,8,0.8,0,0,0.5558493033593442,B
J4,full,treatment_effect_mean,-0.3374485596707819,5,1,9.087867567819097e-4,0.0048563078257818915,0.02191501964593512,0.08448841350000001,0.02593424470160798,1.025034934341653,116.86143261520017,0,0.4,2,0.2,0,0,0.7034708876446824,B
J4,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.14287297757621809,-0.14329951376421807,0.14317523238424568,0.07300458099999997,0.022276091218604792,1.0118035324378862,171.61755875507887,0,3.8,5,1,0,0,0.6229591165607543,B
J5,full,treatment_effect_mean,-0.3374485596707819,5,1,0.00930117010478192,0.011705920690781912,0.020506211872244957,0.0755057907,0.02292331022933163,1.036621110881941,52.63074863783924,0,9.4,20,0.6,0.4,0,0.6760905184604447,B
J5,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.1870957989062181,-0.18506749680421808,0.18743142571600185,0.0834766656,0.025031798238395755,1.0252231295807053,198.2502249497178,0,5.4,14,0.8,0.2,0,0.6268776817422828,B
J6,full,treatment_effect_mean,-0.3374485596707819,5,1,-0.01066227190821809,-0.00947037877921808,0.01782775867061062,0.08745727519999998,0.026795312392543416,1.0127010326689303,128.75239791852846,0,0.2,1,0.2,0,0,0.7154144500127781,B
J6,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.23758161261821809,-0.2342875972142181,0.23780890154361825,0.09038021249999995,0.027852192641973302,1.021962819367247,98.52326243690993,0,4.4,10,0.8,0,0,0.6384950044414411,B
J7,full,treatment_effect_mean,-0.3374485596707819,5,1,-0.00958687505521808,-0.012661905529218087,0.014414960841152763,0.09685787919999998,0.029224837530232684,1.2186687779758723,7.354863406909964,0.2,41,205,0.2,0.2,0,0.705326957007213,B
J7,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.2909599655372181,-0.2898755667542181,0.29134363142911923,0.10350428330000001,0.03135056351880385,1.030540802486896,114.23628317932629,0,3.6,11,0.8,0.2,0,0.6268057591319673,B
J8,full,treatment_effect_mean,-0.3374485596707819,5,1,0.003691832799781902,-0.0030201076192181153,0.01559026985417754,0.09381030880000003,0.028612004988466985,1.0055591733587703,241.36693276974182,0,0.2,1,0.2,0,0,0.749430789148645,B
J8,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3260635970432181,-0.3267553221892181,0.3265494316359449,0.11485709740000001,0.03485410870041431,1.0292174350732046,115.47510047503968,0,1,2,0.8,0,0,0.5357062337631442,B
J9,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.0071553351512180785,0.0019320541007818992,0.031092305216784057,0.09190455029999997,0.02794425146080219,1.012778781814092,228.991017009159,0,5.4,20,0.4,0.2,0,0.6522306663141878,B
J9,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3837703625272181,-0.3828838154692181,0.38431161416148546,0.12484055829999996,0.03854142649342514,1.1780546683816133,8.175987157001936,0.2,62.8,313,0.4,0.2,0,0.6602122626970164,B
M1,full,treatment_effect_mean,-0.3374485596707819,5,0.8,0.004592818071781901,0.006425359840781908,0.022671001172879474,0.0539430604,0.016595426876580402,1.007305569926046,469.6149696113665,0,0.2,1,0.2,0,0,0.669093484705807,C
M1,naive,treatment_effect_mean,-0.3374485596707819,5,0.6,0.0015005508377819222,0.0035027460157819323,0.020421403982366686,0.050357543000000005,0.015449706175690707,1.0196405644382474,400.6038567076102,0,0,0,0,0,0,0.6190398176565844,C
M2,full,treatment_effect_mean,-0.3374485596707819,5,0.8,0.01223145365278192,0.015330237980781924,0.02259189390061658,0.06134153389999998,0.018841334533022988,1.00455989468876,366.3640197575873,0,0,0,0,0,0,0.6290032468651761,C
M2,naive,treatment_effect_mean,-0.3374485596707819,5,0.8,0.01102783855178191,0.0061968903807819165,0.019946201650259558,0.05780222419999999,0.017581526756688327,1.0080805839469575,340.3033780453563,0,0,0,0,0,0,0.6564299984109062,C
M3,full,treatment_effect_mean,-0.3374485596707819,5,1,0.00672991465178191,0.009277280725781933,0.011412564136301638,0.06744717239999998,0.020677102682240354,1.0108150478693236,277.2108257571972,0,0,0,0,0,0,0.7032295695861291,C
M3,naive,treatment_effect_mean,-0.3374485596707819,5,0.8,0.00834400705778191,0.003133512760781887,0.01681620596793302,0.061449426800000005,0.01888982654745733,1.0100751695084673,289.76368589808976,0,0,0,0,0,0,0.6007187112772274,C
M4,full,treatment_effect_mean,-0.3374485596707819,5,1,-0.01031319944521808,-0.005072615784218082,0.017129087467835615,0.07007042890000001,0.021528418476754758,1.0107044780022807,348.89704675604935,0,0,0,0,0,0,0.6738696050814604,C
M4,naive,treatment_effect_mean,-0.3374485596707819,5,1,0.005789084454781912,0.004215828970781932,0.017656047929983293,0.08934105049999996,0.027056320711823952,1.0124165468599948,213.70144833142004,0,0,0,0,0,0,0.6340863480419762,C
M5,full,treatment_effect_mean,-0.3374485596707819,5,1,0.006283799752781915,0.004160647005781892,0.010641685159197285,0.08221392040000002,0.025446087163384205,1.014844901776038,201.18693399252987,0,0,0,0,0,0,0.661042527113446,C
M5,naive,treatment_effect_mean,-0.3374485596707819,5,0.6,0.01025967257478192,0.02367873680578192,0.05556612402829374,0.118735534,0.03631146580387593,1.0152510799500785,146.81630824165788,0,0,0,0,0,0,0.5678143830189458,C
M6,full,treatment_effect_mean,-0.3374485596707819,5,1,0.0028466494407819233,0.0015404099607819188,0.012677791192041802,0.0761902881,0.02366055614489923,1.0070794225074666,193.45881398607696,0,0,0,0,0,0,0.6432716454310837,C
M6,naive,treatment_effect_mean,-0.3374485596707819,5,1,0.010855545066781913,0.021275793550781907,0.038955514126777085,0.1302078702,0.03985162617580439,1.0174742620392807,162.81774292154736,0,0,0,0,0,0,0.6295498866038505,C
