scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
J9,full,time_trend_sd,0.05415237580113904,5,0.8,0.02137707758759876,0.013434450765860965,0.030946802187599456,0.07143853837999999,0.02194986389379032,1.012778781814092,228.991017009159,0,5.4,20,0.4,0.2,0,0.6522306663141878
J9,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.0071553351512180785,0.0019320541007818992,0.031092305216784057,0.09190455029999997,0.02794425146080219,1.012778781814092,228.991017009159,0,5.4,20,0.4,0.2,0,0.6522306663141878
J9,full,treatment_effect_sd,0.07626392697027408,5,1,-0.002078864986643682,9.31424776225917e-4,0.020098530240638953,0.074554187069,0.02277885364605111,1.012778781814092,228.991017009159,0,5.4,20,0.4,0.2,0,0.6522306663141878
J9,naive,time_trend_mean,-0.44993141289437594,5,1,-0.0013118496306240624,0.008132421764375952,0.024763839157643065,0.1901086884,0.060130322313147924,1.1780546683816133,8.175987157001936,0.2,62.8,313,0.4,0.2,0,0.6602122626970164
J9,naive,time_trend_sd,0.05415237580113904,5,0.8,0.05174727471581496,0.03206313994636096,0.07552066736125135,0.19841930229599997,0.06709505745241431,1.1780546683816133,8.175987157001936,0.2,62.8,313,0.4,0.2,0,0.6602122626970164
J9,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3837703625272181,-0.3828838154692181,0.38431161416148546,0.12484055829999996,0.03854142649342514,1.1780546683816133,8.175987157001936,0.2,62.8,313,0.4,0.2,0,0.6602122626970164
J9,naive,treatment_effect_sd,0.07626392697027408,5,0,0.13480135099272594,0.14197569216472594,0.135451466087193,0.0965421543,0.02963241099300621,1.1780546683816133,8.175987157001936,0.2,62.8,313,0.4,0.2,0,0.6602122626970164
K1,default,time_trend_mean,-0.08998628257887518,5,0.8,-0.003328986446842816,2.0995433687517884e-4,0.014472379954006177,0.057699834209999995,0.017892239112808225,1.0072341894142678,481.20249091206637,0,0,0,0,0,0,0.6207218816331433
K1,default,time_trend_sd,0.045528614603915496,5,1,0.002068761040638304,-1.3139884915497335e-5,0.01399260653811021,0.056839296399,0.018069569358837773,1.0072341894142678,481.20249091206637,0,0,0,0,0,0,0.6207218816331433
K1,default,treatment_effect_mean,-0.3374485596707819,5,1,0.0013904777277819135,0.005789090475781911,0.017806147725299596,0.10676629829999999,0.033288412403863044,1.0072341894142678,481.20249091206637,0,0,0,0,0,0,0.6207218816331433
K1,default,treatment_effect_sd,0.07626392697027408,5,1,0.01709012793212592,0.018112685071225917,0.021721204388603567,0.09358344367,0.030971462742573768,1.0072341894142678,481.20249091206637,0,0,0,0,0,0,0.6207218816331433
K2,default,time_trend_mean,-0.08998628257887518,5,1,-0.003918873081324814,-0.004512751067624818,0.015596124882697484,0.047720660379999995,0.014520844962916713,1.010661729567477,576.5767692870386,0,0,0,0,0,0,0.7209289326077015
K2,default,time_trend_sd,0.045528614603915496,5,0.8,-0.006914156407979426,-0.004735674131915495,0.017540245512242175,0.0425687731661,0.013551055164859854,1.010661729567477,576.5767692870386,0,0,0,0,0,0,0.7209289326077015
K2,default,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.007688811056218092,-0.007689180804218099,0.026779682893037105,0.0783988097,0.023801240126093966,1.010661729567477,576.5767692870386,0,0,0,0,0,0,0.7209289326077015
K2,default,treatment_effect_sd,0.07626392697027408,5,0.8,0.014294826584525923,0.01616435234922592,0.027332990375645738,0.06390338724,0.019731382487493457,1.010661729567477,576.5767692870386,0,0,0,0,0,0,0.7209289326077015
K3,default,time_trend_mean,-0.08998628257887518,5,0.8,0.008827551741495184,0.014917475657875184,0.0159918647717263,0.060298272929999994,0.018454765596115766,1.009144324265014,435.7274822818068,0,0,0,0,0,0,0.8003446383069271
K3,default,time_trend_sd,0.045528614603915496,5,0.2,0.010933838401756931,0.02406677822108451,0.0267899179175668,0.051328787248199996,0.016088036622590205,1.009144324265014,435.7274822818068,0,0,0,0,0,0,0.8003446383069271
K3,default,treatment_effect_mean,-0.3374485596707819,5,0.6,-0.015354079323218094,-0.010497789114218115,0.025698636087356192,0.06379201989999998,0.019434108503258878,1.009144324265014,435.7274822818068,0,0,0,0,0,0,0.8003446383069271
