scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,metadid_install_datetime,run_date,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,se_bias,se_ci_width,se_posterior_sd
A15,default,treatment_effect_mean,0,25,0.88,-0.0062644006698573,-0.00698480937223277,0.02032155883904216,0.06185205583879999,0.01895622711739746,1.004698712543754,870.6164815319397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A15,default,treatment_effect_sd,0.06666666666666667,25,0.88,0.00836405572534333,0.00895010922858333,0.01421071460231835,0.05102422584799999,0.01586478994272798,1.004698712543754,870.6164815319397,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A16,default,time_trend_mean,0.08888888888888889,25,0.96,-4.7222314422689206e-4,-0.00215426000688889,0.01084151608699772,0.04296895721999998,0.013174321950111,1.008155510104908,815.9558831222322,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A16,default,time_trend_sd,0.04444444444444444,25,0.8,0.00814828992050655,0.00825421736605555,0.01241071747169267,0.03615460696799999,0.01126700163662995,1.008155510104908,815.9558831222322,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A16,default,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.00414083601386668,-0.00489955871416669,0.01709759091987267,0.06753931161999999,0.0206248688495396,1.008155510104908,815.9558831222322,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A16,default,treatment_effect_sd,0.06666666666666667,25,0.72,0.01618816979286333,0.01140918938758334,0.02377112964054255,0.05611246901799998,0.0174686502261171,1.008155510104908,815.9558831222322,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A17,default,time_trend_mean,0.08888888888888889,25,0.88,0.0010643003585591,-1.0512919138888632e-4,0.01665098114905603,0.05117944556199999,0.01555780293647234,1.0122310474554463,467.3530666733369,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A17,default,time_trend_sd,0.04444444444444444,25,0.92,0.00219868165224996,0.00117677817828055,0.01328152598929396,0.04485305665359998,0.01378104951460957,1.0122310474554463,467.3530666733369,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A17,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00454986067726668,-0.00993937354666668,0.0215072074733513,0.06654398799999998,0.02029029597469882,1.0122310474554463,467.3530666733369,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A17,default,treatment_effect_sd,0.06666666666666667,25,0.76,0.01264535260245233,0.01379172127158333,0.01920299976669043,0.05096379410399999,0.01561056123939843,1.0122310474554463,467.3530666733369,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A18,default,time_trend_mean,0.08888888888888889,25,0.92,0.0038179346959811,0.0038208470096111,0.01372469329246057,0.04375009676399999,0.01338113759485212,1.0078991505431916,796.0296878754212,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A18,default,time_trend_sd,0.04444444444444444,25,0.88,0.00933756001825255,0.01269467642130555,0.01484182039304622,0.03677513184199998,0.01142818944967642,1.0078991505431916,796.0296878754212,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A18,default,treatment_effect_mean,0.3333333333333333,25,0.96,0.00441927090026667,0.00250713044666667,0.01907064675936454,0.06468853585999998,0.01985227402952027,1.0078991505431916,796.0296878754212,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A18,default,treatment_effect_sd,0.06666666666666667,25,0.84,0.01265612540582333,0.01200844062008334,0.01850858501430046,0.05366115915399998,0.01668895505628023,1.0078991505431916,796.0296878754212,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,default,time_trend_mean,-0.08888888888888889,25,0.84,-0.0018399386296911,-0.0010320191418611,0.00662484764136283,0.02328580160399999,0.00709319075606758,1.0088094396106628,989.2042794151652,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,default,time_trend_sd,0.04444444444444444,25,0.72,0.00498700030650555,0.00416217719330555,0.0074104979643151,0.01864360950399999,0.00570727406268947,1.0088094396106628,989.2042794151652,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,default,treatment_effect_mean,-0.3333333333333333,25,0.88,-0.00476427939306669,-0.00468923585166669,0.01213411926613697,0.0371920235,0.01134993474757112,1.0088094396106628,989.2042794151652,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,default,treatment_effect_sd,0.06666666666666667,25,0.6,0.01344397241851333,0.01234982931283333,0.01607195911404373,0.02919791718599999,0.00895822977064479,1.0088094396106628,989.2042794151652,0,2026-05-20T20:52:05Z,2026-05-20T20:53:51Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
