scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad
C6,normal,treatment_effect_sd,0.06666666666666667,25,0,0.08770202195921334,0.08916533484633334,0.08902535993839254,0.09216501150199997,0.028615352705810303,1.0142518389977868,371.65986425951724,0
C6,robust,time_trend_mean,-0.08888888888888889,25,0.84,-0.004419178078581109,-0.004456015863111104,0.012890515290453618,0.03938491785399999,0.012060117611345626,1.004747362466179,1087.6270868614868,0
C6,robust,time_trend_sd,0.044444444444444446,25,0.92,0.0028432643138555534,0.0032229899903055553,0.01002273280512463,0.03373073015119999,0.010437594725293011,1.004747362466179,1087.6270868614868,0
C6,robust,treatment_effect_mean,-0.3333333333333333,25,0.72,0.04092194994733332,0.037715208438333314,0.0462639148789071,0.11428086927999999,0.03494371391645852,1.004747362466179,1087.6270868614868,0
C6,robust,treatment_effect_sd,0.06666666666666667,25,0,0.07068359250056333,0.06932664388183334,0.07197236624027165,0.10400560174199998,0.031925059502199246,1.004747362466179,1087.6270868614868,0
C7,normal,time_trend_mean,-0.08888888888888889,25,0.84,-0.002481164797932678,-0.0010535155990086115,0.019746866620276388,0.07097089015599999,0.02190771871625798,1.0109940663255021,384.2653150810892,0
C7,normal,time_trend_sd,0.044444444444444446,25,0.84,0.020118573043078403,0.02252889580905556,0.029068376495849774,0.07789166439199997,0.02487503781845734,1.0109940663255021,384.2653150810892,0
C7,normal,treatment_effect_mean,-0.3333333333333333,25,0.96,-0.011040977591396679,-0.014408448589166678,0.032537211981771286,0.11348949269999999,0.03490470191653172,1.0109940663255021,384.2653150810892,0
C7,normal,treatment_effect_sd,0.06666666666666667,25,0.16,0.06723355708912376,0.07326196518183332,0.0727911765010914,0.10564654918799997,0.032730452203580535,1.0109940663255021,384.2653150810892,0
C7,robust,time_trend_mean,-0.08888888888888889,25,0.76,-0.0024420489859535103,-0.00155030189228611,0.019886312315237895,0.06752180209799998,0.020799773414713216,1.0265037232813752,204.53877533301824,0
