scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
J9,full,treatment_effect_sd,0.07626392697027408,5,1,-0.0016723881939008796,-1.4588010487408265e-4,0.017528219033233875,0.07614271191399999,0.023504811958954718,0.008724127179923548,0.005760779748971675,0.0018409893503507947,1.0131703320434065,90.40895374057449,0,12.6,55,0.4,0.2,0,0.6426677902597813
J9,naive,baseline_difference_sd,0,5,0,0.030799944008166567,0.015895156721471886,0.036963342789230025,0.05744539722199999,0.018966764519300214,0.010218269903069786,0.011211071804068232,0.003530498046005852,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253
J9,naive,time_trend_mean,-0.44993141289437594,5,1,0.008957591310275936,0.005841014704375924,0.010586609812184967,0.1589491303,0.05029337820990505,0.0028212526133581176,0.025860978144314418,0.007945217946165529,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253
J9,naive,time_trend_sd,0.05415237580113904,5,0.8,0.04354919352632996,0.035244807467360965,0.056367583074896095,0.171561338686,0.05749989646148616,0.017893938672854933,0.023817769492647963,0.007877192955618515,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253
J9,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3828584608722181,-0.37591689950921814,0.3832015539322061,0.12673196639999998,0.03915084773750216,0.008106014350679874,0.002945856254471575,0.0010544317574050872,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253
J9,naive,treatment_effect_sd,0.07626392697027408,5,0,0.13579723204972594,0.1388533994047259,0.1363067406006635,0.09934121259999999,0.0304807560925583,0.00588725956641663,0.0020849184073923875,4.525132314814051e-4,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253
K1,default,baseline_difference_sd,0,5,0,0.024661977699650478,0.026381569845975,0.02551514596154337,0.0574273249605,0.019002750597072005,0.003271449578581538,0.0060969737869577215,0.0017156102834753534,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807
K1,default,time_trend_mean,-0.08998628257887518,5,1,-0.010204610301366912,-0.013862543138624811,0.023707444393728124,0.12941809065499998,0.04123129807291366,0.010699402416478073,0.024192919501376087,0.007468196484205906,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807
K1,default,time_trend_sd,0.045528614603915496,5,0.6,0.035370769367874505,0.0320028761422345,0.051383427988857706,0.14875199622499996,0.05197668490646675,0.018635754252315336,0.025572202761635333,0.00821512044784237,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807
K1,default,treatment_effect_mean,-0.3374485596707819,5,1,0.015372271828811911,0.010228930338131936,0.04261013600886776,0.20251937699999997,0.06439068748004026,0.019870310449986214,0.009663624120186665,0.003482467281621352,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807
