scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,se_bias,se_ci_width,se_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst,category
J2,full,treatment_effect_mean,-0.3374485596707819,5,1,0.007527240705781912,0.007708955875781909,0.01651807623941861,0.07382162769999999,0.02259724278006644,0.007351657806380569,0.004031092582980617,0.0011596792277261349,1.006993473845595,131.5632597528808,0,16,39,0.8,0.4,0,0.7162326740111156,J
J2,naive,treatment_effect_mean,-0.3374485596707819,5,0.2,-0.045327422376218084,-0.057581860374218086,0.04885799456445511,0.059352090199999985,0.01796000416818724,0.009117680812413983,0.005634479164052665,0.0016537081185960196,1.0158127805341777,195.67763307827124,0,2,6,0.4,0,0,0.6266610889372393,J
J3,full,treatment_effect_mean,-0.3374485596707819,5,0.8,0.011801083762781916,0.008871004265781912,0.024985008018455053,0.07382682759999999,0.0225254566784331,0.01101118803429117,0.0013630403337531985,3.050802403682544e-4,1.0232329445507253,87.17123814749986,0,14,32,0.8,0.6,0,0.697487881286204,J
J3,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.0803210099192181,-0.0802116661942181,0.08083506060250957,0.060905452900000004,0.018435574319450906,0.004550889697857522,0.0055934936053221645,0.001592193240676557,1.0067092641059272,210.41677588607465,0,2,4,0.8,0,0,0.6332858734622283,J
J4,full,treatment_effect_mean,-0.3374485596707819,5,1,0.001031127520781916,0.0013912536907819129,0.021728861854649378,0.08400572849999997,0.0258213135640591,0.010852191178908559,0.0030772895932884192,0.0010624297883428692,1.0521635921884949,39.14170475215333,0.2,15.4,74,0.6,0.2,0,0.7082864393524486,J
J4,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.1415711507272181,-0.1422076036792181,0.14193909742664326,0.07323736990000002,0.022538073465038687,0.005106776381961198,0.0038436406693255244,0.001085389472480708,1.025105075698658,176.28336683857995,0,5.6,13,0.8,0.2,0,0.6202616594486297,J
J5,full,treatment_effect_mean,-0.3374485596707819,5,1,0.008987416229781909,0.01006027979078189,0.019524474927074653,0.07520261960000003,0.0230114277953249,0.00866647954319716,0.0026203974709603835,6.032644876279583e-4,1.0581455554184962,77.09001393240834,0.2,17.2,59,0.6,0.4,0,0.7270567183545477,J
J5,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.1858715251592181,-0.18477940280921812,0.18632915826474375,0.08023896309999998,0.024750317916727743,0.00652555274735554,0.00290891625866861,9.203777824056772e-4,1.0113349182514686,136.05851857380966,0,0.8,2,0.6,0,0,0.6137910676768811,J
J6,full,treatment_effect_mean,-0.3374485596707819,5,1,-0.010034054005218085,-0.011706512384218104,0.018119343917676705,0.08922042249999998,0.02740118818825282,0.007543679212218244,0.00549486289672017,0.0016961484095357282,1.012455598233953,164.7942178655675,0,0,0,0,0,0,0.6966636056957491,J
J6,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.23634207637821808,-0.23282102831421814,0.23654525233012122,0.08818984290000001,0.026841286360783596,0.004901003294052293,0.006582354187634118,0.00207979207155445,1.0200682818692013,125.52014777970959,0,3.4,9,1,0,0,0.6539525455972336,J
J7,full,treatment_effect_mean,-0.3374485596707819,5,1,-0.008668925082218093,-0.011724387964218097,0.013349361940821706,0.0983173297,0.029875163462290095,0.005075805407665592,0.006195718347036322,0.0020698493666433198,1.0357540512792276,69.55192963940209,0,21,105,0.2,0.2,0,0.7246399801621095,J
J7,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.2854899294042181,-0.2811232875192181,0.2857771264565578,0.10219294609999999,0.031197161938969816,0.006404416728750579,0.005622500421966538,0.001544018153311473,1.0450008836968419,77.20099958539961,0,11,37,0.8,0.4,0,0.6178558964806741,J
J8,full,treatment_effect_mean,-0.3374485596707819,5,1,0.0036730424827819187,-0.0016152964592180963,0.016090559887888194,0.09295528260000001,0.028176444004424078,0.007832861489031255,0.008023270918722012,0.0024423161255365195,1.0212935873156983,195.7256295033473,0,1,4,0.4,0,0,0.6738710634212819,J
J8,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3262072842482181,-0.3254786426542181,0.3266352516400911,0.11404186079999998,0.034815615699341995,0.008357561208089753,0.004912257025483799,0.001329092955658125,1.0284222232741356,168.4242579027217,0,1.6,3,0.8,0,0,0.6249814940923362,J
J9,full,treatment_effect_mean,-0.3374485596707819,5,0.8,-0.0069431784182180985,3.2998517578192166e-4,0.02910704499892957,0.09258590419999999,0.028333832715035655,0.014133403182023264,0.003758700931691714,0.0010585952931333432,1.0131703320434065,90.40895374057449,0,12.6,55,0.4,0.2,0,0.6426677902597813,J
J9,naive,treatment_effect_mean,-0.3374485596707819,5,0,-0.3828584608722181,-0.37591689950921814,0.3832015539322061,0.12673196639999998,0.03915084773750216,0.008106014350679874,0.002945856254471575,0.0010544317574050872,1.0445187819987602,125.06771601609184,0,3.8,6,1,0,0,0.6320106981072253,J
M1,full,treatment_effect_mean,-0.3374485596707819,15,0.9333333333333333,-3.8743293788475743e-4,-0.002837077959218115,0.01570751545565475,0.0569613099,0.017494797801933373,0.0041967328917714986,0.0017574018149014918,5.672018553669031e-4,1.0134644638340065,236.86814691785094,0,0.06666666666666667,1,0.06666666666666667,0,0,0.6874944895544716,M
M1,naive,treatment_effect_mean,-0.3374485596707819,15,0.9333333333333333,2.0077424011524236e-4,-9.439854142180848e-4,0.016434649943748204,0.053562615333333355,0.01630998847345862,0.00439201717793649,0.0023339871200076787,6.768399832211841e-4,1.0107798868194284,272.53368596763653,0,0,0,0,0,0,0.6271261298234653,M
M2,full,treatment_effect_mean,-0.3374485596707819,15,1,0.0033630338007819118,0.0030025681357819245,0.00968775050448518,0.06044499416666667,0.01836858831914657,0.002428146169581572,0.002027191217011313,5.97952851002271e-4,1.0103567606666801,421.8825882561607,0,0,0,0,0,0,0.6680315292232137,M
M2,naive,treatment_effect_mean,-0.3374485596707819,15,1,0.0016861412454485802,-6.359825842180977e-4,0.01260710442367977,0.0560853463,0.01711093214539298,0.003339118892012886,0.0023871788157995375,7.338131548125796e-4,1.015914092764822,335.02070117432316,0,0,0,0,0,0,0.6041439003931379,M
M3,full,treatment_effect_mean,-0.3374485596707819,15,1,0.004366668209781914,0.00453145722578191,0.010217012334380188,0.06791276953333333,0.020758466243146336,0.0024686541993933935,0.0021558350177032504,7.005568871479581e-4,1.0113261610098803,263.19543083635534,0,0,0,0,0,0,0.6489252193383437,M
M3,naive,treatment_effect_mean,-0.3374485596707819,15,1,-7.857880802180972e-4,-0.004659823429218113,0.01597770331494811,0.06838681576666668,0.020745505081155573,0.004265053510914445,0.003086959366983196,9.218740429300298e-4,1.0297429353361276,134.57137235140573,0,0,0,0,0,0,0.6166637076658664,M
M4,full,treatment_effect_mean,-0.3374485596707819,15,1,0.005090070284115245,0.0038085037457818993,0.01132204711048599,0.07231080366666666,0.022193940748055557,0.002702907631142422,0.003051740083644665,9.214227010816257e-4,1.0098401063971452,318.06137202497837,0,0,0,0,0,0,0.658338044160797,M
M4,naive,treatment_effect_mean,-0.3374485596707819,15,0.9333333333333333,-0.001854593054884753,-0.008796794424218102,0.021534050623922642,0.0810444066,0.024743608802259037,0.005733833303137965,0.0037177579475248823,0.0011197051097106053,1.0302976901366117,139.06933855743674,0,0,0,0,0,0,0.5785314046836788,M
M5,full,treatment_effect_mean,-0.3374485596707819,15,1,0.006091961679115243,0.003287390690781933,0.012995378230215734,0.07678609916666665,0.023696067610506324,0.003067896653206236,0.00387536020568867,0.001180288783428246,1.0320998923062177,173.1064167767169,0,0,0,0,0,0,0.6288071578455726,M
M5,naive,treatment_effect_mean,-0.3374485596707819,15,0.8666666666666667,-0.00546270933955142,-0.0066846680692180804,0.03426207007006199,0.11522995659999999,0.03536596486118738,0.009039786075840415,0.005903523478927438,0.0017954592062423653,1.018831287991824,150.94487029081904,0,0,0,0,0,0,0.6200109558507167,M
M6,full,treatment_effect_mean,-0.3374485596707819,15,1,0.005936990259115245,0.0022701082757818902,0.013441755994301844,0.07850254803333334,0.024067327746675613,0.003223052577842496,0.003990473853619641,0.0012315164046187287,1.0334063428640385,173.44204264815443,0,0,0,0,0,0,0.6552686388255473,M
M6,naive,treatment_effect_mean,-0.3374485596707819,15,0.8666666666666667,-0.008503639178818086,-0.006664574824218061,0.048510075519703794,0.1553130585,0.04716101024698567,0.012764111372023388,0.008120811689273076,0.002376939550501318,1.0515992273699741,110.6312602390641,0.06666666666666667,0,0,0,0,0,0.6034317683497277,M
K1,default,treatment_effect_mean,-0.3374485596707819,5,1,0.015372271828811911,0.010228930338131936,0.04261013600886776,0.20251937699999997,0.06439068748004026,0.019870310449986214,0.009663624120186665,0.003482467281621352,1.0094735979213216,400.8268202207847,0,5.2,10,1,0,0,0.6807737532888807,K
K10,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.007702906354218086,-0.010978822599218063,0.017377409579226396,0.08541320809999997,0.0262287973736772,0.007788446529673551,0.009462841524293815,0.0027942193960375384,1.5245679912692456,3.713319894276243,0.2,77,360,0.8,0.4,0,0.6752880490453256,K
K11,default,treatment_effect_mean,-0.3374485596707819,5,1,0.005533573501781896,0.009327566000781884,0.018920156155686704,0.0771348231,0.022772496737119816,0.009046434010923124,0.0022690300133990887,6.807718200835084e-4,1.0316085876869634,47.35353582730243,0,17.2,76,0.8,0.2,0,0.6736879148931139,K
K12,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.006390474776218092,-0.006921877144218103,0.007605184790893289,0.05808580300000001,0.01765613504196317,0.0020615933060472275,0.003115178613970776,8.67185917134911e-4,1.0240449421647861,100.8922319324703,0,10,17,1,0.6,0,0.48245868718442564,K
K13,default,treatment_effect_mean,-0.3374485596707819,5,1,0.005365776918781917,0.009227539540781926,0.012625125307823701,0.04711178569999998,0.014267723391901169,0.005714066570668339,0.005370373036176307,0.001638745347702105,1.3058800984133259,6.953851220638432,0.2,49.4,225,0.8,0.4,0,0.11255287138521779,K
K14,default,treatment_effect_mean,-0.3374485596707819,5,1,0.018484016436781915,0.019150496435781927,0.02351258688845748,0.10482810640000002,0.03210887960489994,0.00726606631114867,0.006239788887597254,0.0017762458403772874,1.0097212713558052,176.92946778899707,0,0,0,0,0,0,0.6930221845107235,K
K15,default,treatment_effect_mean,-0.3374485596707819,5,1,0.009969331606781918,0.01729973964578191,0.027472420475683417,0.09740389400000003,0.029713732023270965,0.012799866348001144,0.009733646350927626,0.003166642158892996,1.0107204507974996,287.4385070858646,0,2,10,0.2,0,0,0.7097011473420909,K
K16,default,treatment_effect_mean,-0.3374485596707819,5,0.8,0.006666162790781915,0.017750836125781932,0.030276265588769048,0.07660374430000001,0.02333994195965975,0.014766639188119915,9.256423796378765e-4,3.1393814228049597e-4,1.020643588510503,113.11906308880816,0,7.6,38,0.2,0.2,0,0.7130258165930071,K
K17,default,treatment_effect_mean,-0.3374485596707819,5,0.8,0.006045631800781914,0.005068021785781918,0.023818232857212285,0.07289194849999998,0.022146334218538087,0.011519098842463342,0.006173529610852597,0.0019448683345103938,1.0229338410567321,54.292110731599344,0,18.6,81,0.6,0.2,0,0.6947561160592842,K
K2,default,treatment_effect_mean,-0.3374485596707819,5,1,-0.0051018642542180696,-0.019947199424218076,0.026100026613256607,0.0974604593,0.030179422756028227,0.012798265217835532,0.006385285393014339,0.0019396623766372368,1.012633867952951,150.0337762146328,0,4.4,20,0.4,0.2,0,0.733001383028153,K
