scenario_id,model_label,parameter,true_value,n_reps,empirical_coverage,mean_bias,median_bias,rmse,mean_ci_width,mean_posterior_sd,max_rhat_worst,min_ess_worst,pct_rhat_bad,mean_n_divergent,max_n_divergent,pct_reps_with_divergence,pct_reps_many_divergence,mean_n_max_treedepth,min_ebfmi_worst
C2,normal,time_trend_mean,-0.08888888888888889,25,0.88,0.0025977269038968925,0.0012000318113888908,0.012399612528226571,0.041303574073999996,0.012752642686925064,1.581428297523151,3.4480542532137184,0.04,60.52,559,0.96,0.84,0,0.13617016637871016
C2,normal,time_trend_sd,0.044444444444444446,25,1,0.002736347632871874,0.002543668094055554,0.01097939857279529,0.0357871159498,0.011176350592504351,1.581428297523151,3.4480542532137184,0.04,60.52,559,0.96,0.84,0,0.13617016637871016
C2,normal,treatment_effect_mean,-0.3333333333333333,25,0.84,-0.002569992887306687,-0.0036510503366666835,0.042893261316557324,0.12593747154,0.03859420283330144,1.581428297523151,3.4480542532137184,0.04,60.52,559,0.96,0.84,0,0.13617016637871016
C2,normal,treatment_effect_sd,0.06666666666666667,25,0,0.09807359290941334,0.09963124777083333,0.0994875075392528,0.09697953393199998,0.030280061808923748,1.581428297523151,3.4480542532137184,0.04,60.52,559,0.96,0.84,0,0.13617016637871016
C2,robust,time_trend_mean,-0.08888888888888889,25,0.84,0.0020968843841208916,0.001990555674888886,0.012071843712132258,0.040884589891999994,0.012566549902885565,1.0517899845555614,32.27362883636229,0.08,60.08,263,1,0.84,0,0.12129288350452924
C2,robust,time_trend_sd,0.044444444444444446,25,0.96,0.002529500008322746,0.0017999429350555526,0.011109555639115247,0.035300713287999996,0.010949571490262901,1.0517899845555614,32.27362883636229,0.08,60.08,263,1,0.84,0,0.12129288350452924
C2,robust,treatment_effect_mean,-0.3333333333333333,25,0.92,-0.0014915998828666898,-0.008539051996666658,0.03369266918830832,0.11553903407999999,0.03524749075587405,1.0517899845555614,32.27362883636229,0.08,60.08,263,1,0.84,0,0.12129288350452924
C2,robust,treatment_effect_sd,0.06666666666666667,25,0.12,0.06931604307019333,0.06860944024833333,0.07036344442992838,0.114188943176,0.03511361372362594,1.0517899845555614,32.27362883636229,0.08,60.08,263,1,0.84,0,0.12129288350452924
C3,normal,time_trend_mean,-0.08888888888888889,25,0.92,-0.0015225213041111063,-1.2920722111110783e-4,0.011093853432685277,0.041790065971999996,0.012736464440143258,1.358956834687304,6.076484292650967,0.2,140.72,777,1,0.96,0,0.14645198396910927
C3,normal,time_trend_sd,0.044444444444444446,25,0.84,0.004475465284071553,0.0028507469740555527,0.012384263913703928,0.035012956911999994,0.010979733371951524,1.358956834687304,6.076484292650967,0.2,140.72,777,1,0.96,0,0.14645198396910927
C3,normal,treatment_effect_mean,-0.3333333333333333,25,0.88,0.001893509582133317,-2.4862901666666826e-4,0.025229992582957553,0.08877943146,0.027299953402183063,1.358956834687304,6.076484292650967,0.2,140.72,777,1,0.96,0,0.14645198396910927
C3,normal,treatment_effect_sd,0.06666666666666667,25,0.2,0.04690110063167333,0.03486331301033334,0.057580685851333954,0.070455042302,0.022498705593553915,1.358956834687304,6.076484292650967,0.2,140.72,777,1,0.96,0,0.14645198396910927
C3,robust,time_trend_mean,-0.08888888888888889,25,0.92,-0.0013582572848511076,3.2115468038888817e-4,0.011013027046812647,0.041008132557999996,0.012562518556571449,1.0479010834210378,30.022811071090807,0,93.36,243,1,1,0,0.1840059449535762
C3,robust,time_trend_sd,0.044444444444444446,25,0.84,0.004663295439393555,0.0023534110350555554,0.011964943552011924,0.035055532673999995,0.010845878799005108,1.0479010834210378,30.022811071090807,0,93.36,243,1,1,0,0.1840059449535762
C3,robust,treatment_effect_mean,-0.3333333333333333,25,0.88,0.0025785532715333127,1.504027183333312e-4,0.024139673825106553,0.08692227638,0.026504532842130103,1.0479010834210378,30.022811071090807,0,93.36,243,1,1,0,0.1840059449535762
C3,robust,treatment_effect_sd,0.06666666666666667,25,0.6,0.03593441032209333,0.02673080461433333,0.04442920810062538,0.075769562684,0.02348843581177115,1.0479010834210378,30.022811071090807,0,93.36,243,1,1,0,0.1840059449535762
C4,normal,time_trend_mean,-0.08888888888888889,25,0.92,-0.0016729505596311078,-1.442971956111122e-4,0.011862582831315688,0.043351280933999994,0.013328821493514623,1.2116413477170498,7.218875059389939,0.08,83.56,353,1,0.92,0,0.09975524247391093
C4,normal,time_trend_sd,0.044444444444444446,25,0.72,0.007584718747583555,0.005837769409555556,0.013751025840845959,0.03564370088,0.01113487906844528,1.2116413477170498,7.218875059389939,0.08,83.56,353,1,0.92,0,0.09975524247391093
C4,normal,treatment_effect_mean,-0.3333333333333333,25,0.96,0.0017417295143333123,0.005052267228333296,0.0158412112494384,0.06317295692000001,0.019434585339450708,1.2116413477170498,7.218875059389939,0.08,83.56,353,1,0.92,0,0.09975524247391093
C4,normal,treatment_effect_sd,0.06666666666666667,25,0.68,0.010821375389783333,0.011180208469333333,0.024054890562371634,0.052737759902,0.01638580205183834,1.2116413477170498,7.218875059389939,0.08,83.56,353,1,0.92,0,0.09975524247391093
